"Horus Rising (Horus Heresy #1)"
"Legion"
"A Thousand Sons"
"The First Heretic"
"Prospero Burns"
"Know No Fear"
"Betrayer"
"Prince of Crows"
"The Unremembered Empire"
"The Master of Mankind"
"Wolfsbane"
